epi_date_V2,Cases,7-Day Average,Cumulative Cases,AsOf
7/7/2022,182,152,2205,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/8/2022,240,167.1428571,2445,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/9/2022,186,176.5714286,2631,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/10/2022,211,188.8571429,2842,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/11/2022,345,216.2857143,3187,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/12/2022,223,222,3410,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/13/2022,266,236.1428571,3676,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/14/2022,294,252.1428571,3970,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/15/2022,343,266.8571429,4313,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/16/2022,251,276.1428571,4564,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/17/2022,240,280.2857143,4804,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/18/2022,383,285.7142857,5187,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/19/2022,322,299.8571429,5509,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/20/2022,349,311.7142857,5858,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/21/2022,332,317.1428571,6190,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/22/2022,362,319.8571429,6552,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/23/2022,291,325.5714286,6843,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/24/2022,299,334,7142,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/25/2022,530,355,7672,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/26/2022,403,366.5714286,8075,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/27/2022,457,382,8532,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/28/2022,416,394,8948,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/29/2022,448,406.2857143,9396,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/30/2022,359,416,9755,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
7/31/2022,345,422.5714286,10100,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/1/2022,638,438,10738,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/2/2022,475,448.2857143,11213,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/3/2022,457,448.2857143,11670,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/4/2022,444,452.2857143,12114,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/5/2022,486,457.7142857,12600,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/6/2022,366,458.7142857,12966,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/7/2022,314,454.2857143,13280,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/8/2022,518,437.1428571,13798,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/9/2022,429,430.5714286,14227,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/10/2022,474,433,14701,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/11/2022,410,428.1428571,15111,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/12/2022,419,418.5714286,15530,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/13/2022,350,416.2857143,15880,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/14/2022,301,414.4285714,16181,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/15/2022,490,410.4285714,16671,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/16/2022,346,398.5714286,17017,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/17/2022,348,380.5714286,17365,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/18/2022,381,376.4285714,17746,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/19/2022,408,374.8571429,18154,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/20/2022,326,371.4285714,18480,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/21/2022,263,366,18743,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/22/2022,382,350.5714286,19125,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/23/2022,376,354.8571429,19501,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/24/2022,313,349.8571429,19814,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/25/2022,312,340,20126,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/26/2022,331,329,20457,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/27/2022,223,314.2857143,20680,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/28/2022,223,308.5714286,20903,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/29/2022,322,300,21225,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/30/2022,276,285.7142857,21501,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
8/31/2022,238,275,21739,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/1/2022,337,278.5714286,22076,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/2/2022,292,273,22368,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/3/2022,188,268,22556,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/4/2022,149,257.4285714,22705,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/5/2022,226,243.7142857,22931,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/6/2022,288,245.4285714,23219,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/7/2022,237,245.2857143,23456,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/8/2022,224,229.1428571,23680,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/9/2022,220,218.8571429,23900,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/10/2022,160,214.8571429,24060,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/11/2022,100,207.8571429,24160,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/12/2022,246,210.7142857,24406,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/13/2022,199,198,24605,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/14/2022,172,188.7142857,24777,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/15/2022,192,184.1428571,24969,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/16/2022,180,178.4285714,25149,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/17/2022,134,174.7142857,25283,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/18/2022,118,177.2857143,25401,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/19/2022,147,163.1428571,25548,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/20/2022,183,160.8571429,25731,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/21/2022,153,158.1428571,25884,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/22/2022,151,152.2857143,26035,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/23/2022,137,146.1428571,26172,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/24/2022,81,138.5714286,26253,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/25/2022,81,133.2857143,26334,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/26/2022,148,133.4285714,26482,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/27/2022,116,123.8571429,26598,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/28/2022,90,114.8571429,26688,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/29/2022,124,111,26812,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
9/30/2022,119,108.4285714,26931,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/1/2022,81,108.4285714,27012,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/2/2022,61,105.5714286,27073,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/3/2022,104,99.28571429,27177,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/4/2022,85,94.85714286,27262,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/5/2022,91,95,27353,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/6/2022,111,93.14285714,27464,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/7/2022,85,88.28571429,27549,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/8/2022,51,84,27600,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/9/2022,63,84.28571429,27663,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/10/2022,87,81.85714286,27750,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/11/2022,80,81.14285714,27830,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/12/2022,68,77.85714286,27898,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/13/2022,83,73.85714286,27981,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/14/2022,63,70.71428571,28044,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/15/2022,47,70.14285714,28091,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/16/2022,41,67,28132,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/17/2022,67,64.14285714,28199,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/18/2022,54,60.42857143,28253,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/19/2022,53,58.28571429,28306,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/20/2022,68,56.14285714,28374,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/21/2022,50,54.28571429,28424,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/22/2022,28,51.57142857,28452,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/23/2022,25,49.28571429,28477,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/24/2022,50,46.85714286,28527,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/25/2022,36,44.28571429,28563,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/26/2022,54,44.42857143,28617,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/27/2022,52,42.14285714,28669,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/28/2022,47,41.71428571,28716,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/29/2022,23,41,28739,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/30/2022,20,40.28571429,28759,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
10/31/2022,45,39.57142857,28804,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/1/2022,39,40,28843,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/2/2022,38,37.71428571,28881,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/3/2022,36,35.42857143,28917,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/4/2022,30,33,28947,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/5/2022,28,33.71428571,28975,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/6/2022,20,33.71428571,28995,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/7/2022,29,31.42857143,29024,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/8/2022,27,29.71428571,29051,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/9/2022,33,29,29084,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/10/2022,18,26.42857143,29102,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/11/2022,23,25.42857143,29125,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/12/2022,11,23,29136,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/13/2022,9,21.42857143,29145,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/14/2022,32,21.85714286,29177,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/15/2022,16,20.28571429,29193,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/16/2022,23,18.85714286,29216,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/17/2022,16,18.57142857,29232,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/18/2022,21,18.28571429,29253,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/19/2022,7,17.71428571,29260,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/20/2022,4,17,29264,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/21/2022,10,13.85714286,29274,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/22/2022,11,13.14285714,29285,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/23/2022,13,11.71428571,29298,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/24/2022,5,10.14285714,29303,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/25/2022,2,7.428571429,29305,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/26/2022,5,7.142857143,29310,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/27/2022,1,6.714285714,29311,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/28/2022,13,7.142857143,29324,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/29/2022,5,6.285714286,29329,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
11/30/2022,16,6.714285714,29345,Data as Reported to CDC as of 30 Nov 2022 2:00 PM EDT
